snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,fanduel,h2h,Arizona Diamondbacks,,1.81
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,fanduel,h2h,San Francisco Giants,,2.14
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,fanduel,spreads,Arizona Diamondbacks,-1.5,2.3
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,fanduel,spreads,San Francisco Giants,1.5,1.64
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,fanduel,totals,Over,7.5,1.82
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,fanduel,totals,Under,7.5,2.0
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,betfair_ex_eu,h2h,Arizona Diamondbacks,,1.82
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,betfair_ex_eu,h2h,San Francisco Giants,,2.16
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,betfair_ex_eu,h2h_lay,Arizona Diamondbacks,,1.86
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,betfair_ex_eu,h2h_lay,San Francisco Giants,,2.22
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,coolbet,h2h,Arizona Diamondbacks,,1.76
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,coolbet,h2h,San Francisco Giants,,2.08
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,coolbet,spreads,Arizona Diamondbacks,-1.5,2.35
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,coolbet,spreads,San Francisco Giants,1.5,1.6
2026-08-30T01:36:04Z,closing,f007a8d44c9c2b52df9d2e68b822e580,2026-08-30T02:06:00Z,San Francisco Giants,Arizona Diamondbacks,coolbet,totals,Over,7.5,1.85
