snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,fanduel,h2h,Colorado Rockies,,2.4
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,fanduel,h2h,San Diego Padres,,1.6
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,fanduel,spreads,Colorado Rockies,1.5,1.91
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,fanduel,spreads,San Diego Padres,-1.5,1.91
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,fanduel,totals,Over,10.5,1.75
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,fanduel,totals,Under,10.5,2.1
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,draftkings,h2h,Colorado Rockies,,2.44
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,draftkings,h2h,San Diego Padres,,1.57
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,draftkings,spreads,Colorado Rockies,1.5,1.95
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,draftkings,spreads,San Diego Padres,-1.5,1.88
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,draftkings,totals,Over,11.0,1.94
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,draftkings,totals,Under,11.0,1.88
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betmgm,h2h,Colorado Rockies,,2.4
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betmgm,h2h,San Diego Padres,,1.59
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betmgm,spreads,Colorado Rockies,1.5,1.95
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betmgm,spreads,San Diego Padres,-1.5,1.87
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betmgm,totals,Over,11.0,2.0
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betmgm,totals,Under,11.0,1.83
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,pinnacle,h2h,Colorado Rockies,,2.49
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,pinnacle,h2h,San Diego Padres,,1.61
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,pinnacle,spreads,Colorado Rockies,1.5,2.0
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,pinnacle,spreads,San Diego Padres,-1.5,1.91
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,pinnacle,totals,Over,11.0,2.01
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,pinnacle,totals,Under,11.0,1.88
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,h2h,Colorado Rockies,,2.54
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,h2h,San Diego Padres,,1.63
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,h2h_lay,Colorado Rockies,,2.6
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,h2h_lay,San Diego Padres,,1.65
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,spreads,Colorado Rockies,1.5,2.02
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,spreads,San Diego Padres,-1.5,1.93
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,totals,Over,10.5,1.84
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,matchbook,totals,Under,10.5,2.1
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betrivers,h2h,Colorado Rockies,,2.5
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betrivers,h2h,San Diego Padres,,1.55
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betrivers,spreads,Colorado Rockies,1.5,1.97
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betrivers,spreads,San Diego Padres,-1.5,1.83
2026-09-17T00:14:34Z,closing,2a23efa19ee00d93f95ffa8a0d655216,2026-09-17T00:41:00Z,Colorado Rockies,San Diego Padres,betrivers,totals,Over,11.0,1.87
