snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,fanduel,h2h,Arizona Diamondbacks,,1.83
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,fanduel,h2h,Kansas City Royals,,2.02
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,fanduel,spreads,Arizona Diamondbacks,-1.5,2.4
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,fanduel,spreads,Kansas City Royals,1.5,1.59
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,fanduel,totals,Over,8.5,1.83
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,fanduel,totals,Under,8.5,1.98
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,coolbet,h2h,Arizona Diamondbacks,,1.82
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,coolbet,h2h,Kansas City Royals,,2.0
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,coolbet,spreads,Arizona Diamondbacks,-1.5,2.4
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,coolbet,spreads,Kansas City Royals,1.5,1.58
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,coolbet,totals,Over,8.5,1.82
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,coolbet,totals,Under,8.5,2.0
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,betmgm,h2h,Arizona Diamondbacks,,1.83
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,betmgm,h2h,Kansas City Royals,,2.0
2026-09-10T00:15:13Z,closing,01ff759b99c1daf7fe8fbee28fd97362,2026-09-10T00:31:00Z,Kansas City Royals,Arizona Diamondbacks,betmgm,spreads,Arizona Diamondbacks,-1.5,2.35
