snapshot_utc,mode,event_id,commence_utc,home,away,book,market,outcome,point,price
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,draftkings,h2h,Buffalo Bills,,1.49
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,draftkings,h2h,Detroit Lions,,2.7
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,draftkings,spreads,Buffalo Bills,-4.5,1.93
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,draftkings,spreads,Detroit Lions,4.5,1.89
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,draftkings,totals,Over,53.5,1.87
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,draftkings,totals,Under,53.5,1.95
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,fanduel,h2h,Buffalo Bills,,1.47
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,fanduel,h2h,Detroit Lions,,2.8
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,fanduel,spreads,Buffalo Bills,-4.5,1.94
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,fanduel,spreads,Detroit Lions,4.5,1.88
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,fanduel,totals,Over,53.5,1.87
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,fanduel,totals,Under,53.5,1.95
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,betmgm,h2h,Buffalo Bills,,1.45
2026-09-15T07:15:12Z,scheduled,56e8897681915f7ec92baeee952bb1ae,2026-09-18T00:15:00Z,Buffalo Bills,Detroit Lions,betmgm,h2h,Detroit Lions,,2.8
